# DGP instance in .dat format for dgp.mod
param : E : c I :=
  62 60  17.000 0  # [A_9^1,R_5^1]
  20 21  1.000 0  # [A_4^0,P_3^0]
  1 71  6.000 0  # [A,L_1^2]
  93 90  21.000 0  # [N_(3, 2)^2,x_3^2]
  37 38  0.500 0  # [P_3^1,R_0^1]
  47 51  2.000 0  # [R_2^1,S_2^1]
  50 47  3.000 0  # [A_6^1,R_2^1]
  49 50  0.500 0  # [L_5^1,A_6^1]
  32 35  0.000 0  # [A_3^1,L_3^1]
  12 14  28.000 0  # [A_2^0,M_2^0]
;
